description,country,variety
Heavy chunky and waxy and really not that appealing. There's more than enough baked notes corn and mealy qualities. Not much else to say.,Chile,Chardonnay
Oddly tropical and floral like an Argentine Torrontés. Spritzy in the mouth but weird tasting and funky with cloying unusual flavors that frankly don't taste very good.,Chile,Gewürztraminer
An odd mix of Graham cracker blueberry jam and floral aromas yield a kitchen cleanser whole. With time things get better yielding a big sticky palate of blueberry blackberry and syrupy flavors. A grapey big boy with a cloying finish. Good but not balanced quite right.,Chile,Red Blend
Basic melon and peach aromas become more pungent and citrusy with airing. The palate has weight and zest but lacks complexity while the flavors are citrusy and green much like Sauvignon Blanc which is common for this wine based on past performance.,Chile,Chardonnay
Aromas of standard berry fruit have a cheesy accent while the palate is on the flat side in terms of feel and flavors. With respect to flavor expect mildly herbal berry tastes and cherry tomato. Snappy on the finish but stretched thin.,Chile,Cabernet Sauvignon
This spunky rosé relies mostly on Itata Cinsault but also Colchagua fruit. The nose is alert but simple with tangerine and peach-pit aromas. This feels round yet lively while briny stone-fruit and citrus flavors finish salty and a bit sulfuric.,Chile,Rosé
Prickly and varietally correct on the nose this opens with grassy aromas and a pop of citrus. A standard mouthfeel with adequate acidity projects salty citrus and green flavors while grapefruit pith and lime notes work the finish.,Chile,Sauvignon Blanc
This Sauvignon Blanc is neutral on the nose except for a smack of lime. Mild on the palate this tastes of briny salty citrus fruits and peels. A fresh finish confirms that this is straightforward but enjoyable.,Chile,Sauvignon Blanc
Light simple citrus aromas fall halfway between punchy and vacuous. This feels wet but basic while briny flavors of pickled cucumber and scallion blend with citrus notes. A fair finish is fresh and light.,Chile,Sauvignon Blanc
Citrus aromas lead the nose followed by feline notes yeasty vanilla and green pepper scents. This wine has a citric tangy hard-driving palate. Flavors of orange tangerine and grapefruit finish with zesty acidity.,Chile,Sauvignon Blanc
Briary red-fruit aromas are earthy and mellow with notes of red-apple skin and raspberry. This is medium in body fresh and feels good on the palate. Plum raspberry and vanilla flavors are lightly herbal while the finish is largely smooth and mild.,Chile,Cabernet Sauvignon
Grass and mango aromas show a note of fresh white mushroom. This SB is simple modest and round in feel. Flavors of orange and passion fruit are direct while a plump citrusy finish keeps things lively and in tune.,Chile,Sauvignon Blanc
This Merlot smells rooty with licorice and mint to boot. A wide sort of flabby palate is at its base oaky as can be; there's also stewed plum and herbal blackberry flavors in front of a blocky chunky finish.,Chile,Merlot
Every vintage this wine pulls the same score so there's something to be said about consistency. This bottling is neutral on the nose with hints of dust and melon. The palate is clean and citrusy in feel with melon and green herb notes. An easy finish seems right given the precedings.,Chile,Sauvignon Blanc
Inky grapy aromas come across hard and reduced. This is pinchy and tannic on the palate with dark berry game and crusty flavors. On the finish it's hard-driving with heat and tannic grab.,Chile,Carmenère
There's a lot of oak on this value-priced Chard to the point that any fruit aromas are blanketed. In the mouth there's ample acidity affording good cut while flavors of pear and apple are spiced up by aforementioned forceful oak. Fortunately a resiny tasting finish isn't too heavy,Chile,Chardonnay
Standard on the nose with apple pear and spice aromas this is a fruity Viognier with sweet flavors of peach and nectarine in front of a finish that starts out juicy but falls off quickly. Expect lots of sweet basic white-fruit character from this warm-vintage wine.,Chile,Viognier
Dusty apple and pear aromas are likable. This feels soft leesy and creamy as young Chardonnay goes with stalky slightly mealy flavors of corn and apple. On the finish things taste salty and briny.,Chile,Chardonnay
After a cheesy opening the bouquet shows tropical fruits but little more. In the mouth this is round and heavy with very ripe flavors of tropical fruits and melon. A big honeyed finish with vanilla and banana flavors is quite sweet.,Chile,Chardonnay
This opens with grassy green aromas of candied raspberry. A chunky palate delivers candied caramelized slightly weedy red-fruit flavors. Not a lot besides acidity and heat is driving the finish.,Chile,Pinot Noir
Cherry and cassis aromas are both a touch raisiny and candied. This has a high-acid mouthfeel to go with generic red-fruit flavors that turn a bit weedy the longer this is exposed to air. A quick finish is low on depth.,Chile,Cabernet Sauvignon
This rusty-colored Merlot opens with roasted herbal burnt aromas of plum and currant. Light fresh and saucy on the palate this tastes of tomato sauce pepper and barely ripe plum. Herbal savory and green on the finish.,Chile,Merlot
Lightly oxidized and briny on the nose this hints at fino Sherry which isn't bad per se. A lemony high-acid palate is home to salty flavors of citrus rind and briny stone fruits. The finish is more of the same.,Chile,Chardonnay
Earthy mulchy aromas of tea and coffee grounds are oaky but unfocued with a stewed-fruit character that's vintage Elqui Valley. This is creamy and resiny a reflection of 24 months of oak aging. Herbal heavily woody flavors of clove and roasted dark-berry fruits finish minty and resiny.,Chile,Malbec
Dark in color with grassy aromas of sugar beet and raisin this doesn't smell much like typical Pinot Noir. A heavy palate that pinches shows flavors of cherry and medicinal black plum while a sweet finish tastes of prune.,Chile,Pinot Noir
Coconut and vanilla are the lead aromas while there's leather and ripe berry and cassis below the surface. Feels tight juicy and prickly with zesty acidity and typical Chilean Cabernet flavors of leafy berry earth tobacco and oaky vanilla. Feels snappy and tight as it finishes with oaky leafy flavors.,Chile,Red Blend
Maybe a little more ripe and heady than some of its Chilean buddies but this SB from Montes offers freshness zip and good citrus tarragon and other green-herb flavors. The feel is good the character fresh and the finish long and clean. Offers maybe a little more green-leaf character than some might like but overall this is another fine value SB from Chile. Drink immediately.,Chile,Sauvignon Blanc
Neutral and clean with hints of melon apple and cucumber. For a 2007 this is still holding its own. It offers just enough richness and body to tease but mostly it's a textbook Chilean SB with apple grapefruit and gooseberry flavors along with a pithy finish. Gracious and tasty but drink now.,Chile,Sauvignon Blanc
Chilean wine folk have been saying that we should watch Limarí for cool-climate Chardonnay. This example is clean and medium-weight with aromas of apple and pear. The acidity is high and scouring yet some creamy oak and resin moderate any lean qualities. Could stand to be a touch less resiny but still it ranks as nice Chilean Chardonnay. Imported by Ecovalley Quality Wine Group and National Refrescos Import Company LLC.,Chile,Chardonnay
Apple juice aromas don't hold it together for long and the palate is spritzy and acidic. Apple cider and a touch of vinegar and citrus are the flavors. Not the type of Chardonnay we can recommend.,Chile,Chardonnay
Average peach and apple aromas are as good as it gets. The palate is wet heavy charmless and cidery with aggressive apple and citrus flavors. And oak wouldn't likely help it.,Chile,Chardonnay
Neutral aromas sour apple and citrus flavors a spritzy mouthfeel and soda-like on the finish. Unsophisticated to a fault.,Chile,Chardonnay
Smells like spiced applesauce. The palate is more full than light with roundness but lemony tart flavors of citrus and green apple. Tart again on the finish with an odd oily feel. Seems green as well.,Chile,Sauvignon Blanc
Saline apple and not much else create an innocuous bouquet. The palate is short and lemony with tangy acidity and stalky flavors of lemon and pineapple. Burns a little on the finish which tastes stemmy.,Chile,Chardonnay
Funky and sweet smelling with odd fruit aromas and unfamiliar spice notes. The palate has a snappy clacky feel and flavors of red fruits citrus herbs tomato and oregano. Sharp on the finish and overall it tastes like pizza.,Chile,Cabernet Sauvignon
Lemon and apple aromas are basic while the palate is spongey and offers only mild acidity to boost slightly mealy citrus and persimmon flavors. Finishes flat as a board.,Chile,Chardonnay
Pointed and herbal on the nose with olive and a hardness that suggests paint or chemical. The palate is tight grating and tastes of jumbled fruit and olive. Herbal and minty on the finish.,Chile,Carmenère
Heat spice oregano and earthy black fruit aromas are granular and raisiny. The palate is thick like berry syrup with creamy sweet gummy flavors that suggest blackberry candy and molasses. Roasted and herbal; strange on the finish.,Chile,Cabernet Sauvignon
Banana and lacquer aromas blend with pickled white fruit scents and brine. It's by no means a fresh and inviting Chardonnay; instead it's a bit mustardy and briney and not terribly fresh in feel. Is that sauerkraut on the finish?,Chile,Chardonnay
Bland and oily on the nose with a mushy palate that's pickled and isn't bringing much to the table. The wine is lemony and green with a tangle of briney citrus flavors and low acidity. Proves that no oak does not mean no faults.,Chile,Chardonnay
A murky wine with tree bark rooty fruit aromas and a sharp high-acid palate that's tannic. Tastes herbal tart and a bit vegetal with an herbal scratchy finish that strongly hints at green. Imported by GOS Wines and BMC Imports.,Chile,Cabernet Franc
Dusty and a bit odd on the nose this has a strange whiff of perfume and resiny oak. The palate is round and layered with some minerality. Flavors of apple pear and quince come with a lot of vanilla and raw oak. The finish follows suit with toast and resiny flavors.,Chile,Chardonnay
This juicy white opens with a blend of citrusy and grassy aromas. The mouthfeel is healthy and round with good acidic cut. Flavors of lime Granny Smith apple and green herb are fresh and correct while the finish is clear and refreshing. Drink now before it begins to fade.,Chile,Sauvignon Blanc
Jammy floral aromas fold in graphite blueberry and cassis accents. The palate is tight and firm with mild astringency due to the strong tannins. It bears flavors of herbal berry saline and rubbery earth and the finish includes green herb and salt notes.,Chile,Cabernet Sauvignon
This Carmenère-led blend is heady meaty and inviting up front. In the mouth clamping tannins are delivered amid serious structure. Flavors of berry cassis chocolate and spice lead to a lasting pure finish that fades slowly and in phases. Best through 2019.,Chile,Red Blend
With its compact nose of blackberry and cassis aromas this wine comes across as ripe and modern. In the mouth it's round bouncy tannic and exuberant but not overdone. Flavors of blackberry and fig are smooth while the finish is rich and ready. Drink through 2017.,Chile,Cabernet Franc
Meaty and full on the nose and convincing overall. The palate is a touch scratchy and raw but it houses nice cassis cherry and raspberry flavors. Some grit and bite to the finish is followed by flavors of caramel and sweetness and overall the wine seems well made and natural. Drink now.,Chile,Cabernet Sauvignon
A full dark and meaty style of Carmenère with rubbery dark-fruit aromas that steer it in the right direction. The palate is chewy and ripe with cola black cherry prune and coffee flavors while the palate is flush but loses steam fairly quickly. Not a complex wine but one that's good for light-minded drinking.,Chile,Carmenère
Warm aromas of menthol chocolate and black fruit are the opening act which is followed by flashy flavors of grape bubble gum blackberry and raspberry. Fairly spicy full and chewy on the palate and finish and overall it shows fire in the belly while never striving to outdo itself.,Chile,Syrah
Simple sweet and floral at first and then it kind of falls apart and loses steam. The palate is lean and candied but also tart with bland semisharp red plum flavors. Finishes sweet with a dusting of faux oak flavor.,Chile,Cabernet Sauvignon
Smells good and fruity with ample berry force at the bouquet's center along with herbs and spice. Grabby tannic and stocky on the palate with sweet chunky berry raisin and plum flavors. Turns slightly herbal and stewy on the finish.,Chile,Syrah
Light and generally clean smelling with standard green apple melon and lime aromas. Feels a touch flat and pithy for Casablanca with generic citrus and mild bitterness for flavors. Pithy and just juicy enough on the finish.,Chile,Sauvignon Blanc
Spicy and dry smelling with red fruit aromas and a hint of prickle and brine to the nose. Smooth in the mouth and full through the midpalate as plum and red berry flavors blend with herbal notes. Mellow and full on the finish. Good value.,Chile,Pinot Noir
This dark-tinted Cab shows aromas of blackberry spice and olive along with some grit and herbal character. The palate is jammy but propped up by juicy acidity. Herbal-leaning flavors of blackberry black plum and cocoa finish fresh and snappy. Drink through 2017.,Chile,Cabernet Sauvignon
A dark cedary nose pumps out volumes of baked plum and blackberry aromas. A beefy full-bodied palate is fiercely tannic while black cherry dark plum and blackberry flavors are more fruity than herbal or spicy. The finish is gritty due to drilling tannins so wait this out a bit and drink  through 2022.,Chile,Cabernet Franc
Chunky ripe blackberry and cassis aromas come with baking spice scents. In the mouth this feels broad jammy and tannic but under control. Ripe flavors of baked blackberry and graphite finish full and creamy but with solid tannic framework. Drink through 2019.,Chile,Cabernet Sauvignon
Ripe almost candied aromas of berry fruits are offset by creamy oak scents and a touch of olive. This is chunky weighty and trying hard to keep its form. Flavors of roasted black fruits chocolate and herbs finish soft and low on structure. Drink this warm-vintage full-flavored Cab through 2017.,Chile,Cabernet Sauvignon
Ripe plum and red-berry aromas are complete spicy and a touch furry like wool. This blend of Malbec Cabernet Sauvignon Syrah and Carignan feels full and pure with comfortable tannins. Chunky berry plum and herbal flavors turn savory on a chewy finish. Drink through 2020.,Chile,Red Blend
Luis Pereira is Santa Carolina's commitment to making wine the old-fashioned way with lower alcohol and more freshness. All in all it's a success: aromas of cherry berry and tomato are a bit lean and austere. In the mouth this is more tight and grabby than lush while earthy Bordeaux-like flavors of cassis and plum finish with zesty acidity and moderate complexity. Drink through 2022.,Chile,Cabernet Sauvignon
It's taken time but Undurraga has finally hit paydirt with this Limarí Syrah. Cool gritty aromas of black olive herbs asphalt cassis and boysenberry are stacked and complex. This feels just plush enough but with bracing acidity. Flavors of hard spices pepper wild herbs and leather blend with plum and berry notes prior to a savory meaty leathery finish. Drink through 2020.,Chile,Syrah
Neutral smelling with mild apple and briney aromas. Feels heavy flat and on the thick side with average flavors of melon but little to no citrus or smack. Melony soft and bitter on the finish.,Chile,Sauvignon Blanc
Light and prickly in style with citrus aromas along with tight cherry and plum scents. Runs lean in the mouth with short tart red fruit flavors in front of a crisp sheer finish.,Chile,Pinot Noir
Tomato red fruit and resiny oak aromas don't exactly scream “fresh.” Feels rustic and scratchy with herbal sawdust and vanilla flavors clouding out any quality fruit that might exist. Not much here really.,Chile,Merlot
Muddled aromas break up with airing and fade from citrus and grass to vegetal and a bit dirty. The palate has gaps in it while the flavors are a sketchy mix of bland citrus and mealy apple. Acceptable but not convincing.,Chile,Sauvignon Blanc
Full ripe black-fruit aromas open this fine Casablanca Syrah. In the mouth this is juicy and fresh with good body weight. Black plum blackberry barrel spice and herbal flavors finish long subtle and lightly herbal. Drink through 2019.,Chile,Syrah
Briny lightly green citrus aromas are round and pungent. A juicy crisp mouthfeel is formed by citric acidity while flavors of stony lime and green apple finish crisp and in fine form.,Chile,Sauvignon Blanc
Compact and candied on the bouquet with dusty red berry aromas. Feels blocky and tannic but healthy with cassis and blackberry flavors touched up by typical Chilean herbal notes. A flavorful wine for everyday drinking.,Chile,Cabernet Sauvignon
Rubber shoe polish blackberry and blueberry aromas control the bouquet on this Limarí Syrah. This feels gritty and tannic while flavors of roasted black fruits and chocolate come across a touch reduced. Toast chocolate and ripe berry flavors define the finish.,Chile,Syrah
This black-colored Syrah offers berry oak and secure overall aromas. The palate is juicy and acidic with plenty of cut to the palate. Flavors of plum and black fruits are earthy toasty and lightly herbal while this finishes with zesty acidity lots of pulse and spice notes.,Chile,Syrah
Initially this smells oaky pasty and lactic but with time it opens to reveal blackberry and cassis aromas. The palate is lively and offers healthy acidic cut. Flavors of creamy berry oak and plum end with a creamy feeling and lightly lactic tasting finish. Overall this is a polished wine with minimal varietal character.,Chile,Carmenère
This starts with dense murky earthy aromas of stewed black fruits and rubber. In the mouth it feels full and aggressive with rubbery tannins supporting thick herbal flavors of rooty black fruits. A chunky chewy layered finish is generous in every way.,Chile,Syrah
This blend of 60% Carmenère and 40% Carignan opens with campfire cassis chocolate oak and minty aromas. A wall of acidity greets you on the palate creating a clampy rough feel. In terms of flavor oak is up front and behind that there's graphite and minty herbal fruit in front of a finish with tobacco vanilla and length.,Chile,Red Blend
Casas del Bosque makes some of the most pungent expressive Sauvignon Blancs in Chile. This vintage fits the blueprint; it's forward punchy and full of passion fruit white grapefruit and tarragon on both the bouquet and palate. Shows mineral components saline and scallion on the finish. A high-quality wine with a commensurate price tag.,Chile,Sauvignon Blanc
A complete wine that starts with lemony oak-based aromas that come with notes of herb spice and dark-berry fruit. Feels layered ripe and fresh with full sweet flavors of brown sugar herb and baked berry and plum. Chocolaty and smooth on the finish. Drink now through 2014.,Chile,Cabernet Sauvignon
Smoky on the nose with a hint of rubber and good red-fruit purity. Feels tight with modest tannic grab and dark flavors of baked berry leather and earthy density. Shows complexity on the finish via tobacco and light herbal notes.,Chile,Cabernet Sauvignon
Rubbery and gassy at first with a ton of barrel power that pushes charred aromas onto the nose. Feels correct and well-balanced with honest Pinot flavors of red fruits herbs and baked earth. Tastes and feels harmonious.,Chile,Pinot Noir
Emphasizes intense passion fruit aromas that grow more pungent upon breathing. Feels tangy as it dances on the palate with passion fruit lemon-lime and tarragon flavors. Long and focused on the finish with tons of zest.,Chile,Sauvignon Blanc
Dense and dark smelling with coconut tobacco perfumed berry fruit and leather aromas. Feels powerful and layered with tough tannins and a rugged overall mouthfeel. Flavors of dark berry toast herb and spice are rewarding while the finish is herbal and chocolaty.,Chile,Carmenère
Ripe berry aromas show a note of prune as well as mocha and vanilla scents. Tight clampy tannins roughen up the mouthfeel on this Maule Cabernet while a fairly heavy wood element blends with flavors of herbal berry fruits and beef jerky. This is a full-volume wine with a full-volume finish. Drink through 2020.,Chile,Cabernet Sauvignon
Tropical citrusy aromas are about as good as this gets. The palate is cloying and the flavors of banana and burnt sugar finish sticky.,Chile,Moscato
If this isn't Chile's best Syrah then it's among the top three. Graphite tobacco leather blackberry baked black plum and spice aromas set up a lively palate with firm tannins and good acidity. Stewed plum blackberry toasty oak and licorice flavors finish with a grabby feel and lingering flavors of anise and black pepper. Drink through 2020.,Chile,Syrah
Ultra-fresh and snappy but a little light and neutral when it comes to fruit character. The palate is totally spunky and alive with bouncy but mild flavors of lime white grapefruit and orange. Clean and likable with good focus but only medium-level intensity and power. Drink now.,Chile,Sauvignon Blanc
From cool-climate Leyda along the coastline this SB is fairly grassy and green. The nose shows hints of green bean and peas while the flavor profile rotates around a mix of honeydew melon and pea pod. Good mouthfeel and finishing persistence are positives; but in the final analysis it seems a little vegetal.,Chile,Sauvignon Blanc
Clean and composed SB with lemon-lime aromas that settle more toward lime. The palate is clean with basic depth that allows for nice green apple and dry green-herb flavors to show themselves. A little weak on the back end and very “liquid” due to medium concentration.,Chile,Sauvignon Blanc
Crisp and sturdy at this young stage with a lot of green on the nose: apple onion melon even celery. For a Maule Valley SB this one manages to maintain freshness and liveliness. There's give and take between the wine's acidity and body with apple green herb and talc for flavors. Finishes clean and chalky.,Chile,Sauvignon Blanc
Definitely a riper more solid version of Carmenère with blackberry pine herbs and chocolate on the nose. The palate is typically herbal but it's full of smooth simple dark-fruit flavors and spice. Tasty wholesome and well worth a go in this category.,Chile,Carmenère
Very deep in color and aromas this slams you with black fruit herbs and saucy oak aromas. The palate is stable with dark prune fruit cake and acidity giving it an extra burst of life. Finishes with some faux oak flavor butter pepper and heat. Imported by Carolina Wine Brands USA Inc.,Chile,Carmenère
There's very little difference between this Merlot and La Joya's so-called Gran Reserve. Both are entirely solid ripe a touch bretty and friendly as can be. This wine has more plumpness and less structure than its big brother but it's nice if you like soft round chewy berry fruit and not much tannic bite or acidic roughness.,Chile,Merlot
Warm leathery cherry and plum aromas are ripe and rugged. This blend of Petit Verdot Carmenère and Cabernet Sauvignon feels choppy but bold due to firm acidity. Prickly oaky flavors of mixed berries and green herbs end on a note of mild heat.,Chile,Red Blend
Plum raisin and red licorice aromas are ripe and heady. This feels tight and structured with meaty tannins. Black cherry and oaky chocolate flavors end mild and chunky with length. This should raise no complaints.,Chile,Cabernet Sauvignon
Hard-driving aromas of nettle jalapeño sea brine wet stones and grapefruit set up a chunky palate with a ton of weight. Passion fruit orange and controlled vegetal flavors are in harmony. Drink now.,Chile,Sauvignon Blanc
Prickly aromas of nettle and green herbs are matched by spicy blackberry and lactic oak notes. A tight tannic palate is firmly built with spicy flavors of cherry and cassis as well as olive. A peppery herbal toasty finish sends this on its way. Drink through 2018.,Chile,Cabernet Sauvignon
Earthy tarry plum and berry aromas are herbal and gritty. This is a forward Syrah with juicy acidity. Flavors of plum currant raspberry tomato and herbs finish fresh with lingering acids and spicy flavors that include fennel and licorice root. Drink this spicy elegant Syrah now through 2017.,Chile,Syrah
Tropical aromas of lychee and pineapple come with blocky pithy citrus notes. The palate follows that lead with body weight and power; flavors of green fruits fold in a touch of nettle and funk while the finish is medium in length but doesn't bring anything new to the table.,Chile,Gewürztraminer
Sweet on the nose with marshmallow Nestle's Quick and generic dark fruit aromas. The palate is more snappy and alert with good but regular berry flavors mixing with chocolate and herbal notes. Juicy and lively across the palate but herbal on the finish.,Chile,Cabernet Sauvignon
Rubbery and hard on the nose but with solid berry and cassis aromas lying in wait. The palate is solid fresh and good with raspberry plum and herbal flavors. Finishes dry and herbal but there's enough fruit and clarity to push it up a notch or two.,Chile,Merlot
This grassy slightly stalky smelling SB struggles with purity on the nose. In the mouth however it's lifted and shows good feel along with flavors of green herbs and citrus. The finish is under control with adequate cut.,Chile,Sauvignon Blanc
From the start this is a heavily roasted and fully oaked wine. The nose is charred and cooked with black-fruit aromas lurking below the surface. The mouth is drying and shows black-fruit flavors along with burnt meat licorice lemon peel and herbs.,Chile,Cabernet Sauvignon
The basic aromas of grapefruit green herbs and stone fruits are generic. This feels young fresh and fruity with flavors of lime and grapefruit that end in standard fashion.,Chile,Sauvignon Blanc
Rough nutty stalky aromas are not particularly inviting. This has a grabby creamy chocolaty texture to go with baked stewy flavors of cherry cough drop. A lightly green oaky chocolaty finish is low on acid given that this is a coastal wine from a cool year.,Chile,Pinot Noir
Peach pit and apricot aromas are subdued. The palate is pulpy and fruity with a light cut of acidity. Pithy flavors of orange and quince end with minor notes of bitterness and greens.,Chile,Sauvignon Blanc
Dry lightly herbal aromas of spicy raspberry and currant precede a tomatoey palate with bright acidity and modest weight. Short spicy flavors of tomato and plum finish simply without much flavor or force.,Chile,Pinot Noir
Horsey aromas infringe upon basic cherry and tomato scents. This is lean on the palate with scouring acidity. Tart spicy plum and cherry flavors end on a crisp dilute finish with that reverberates with sour plum and cherry notes.,Chile,Pinot Noir
With tight crisp aromas of berry fruit toast mineral and mint this Cabernet Sauvignon blend is high toned—coming across racy and snappy. Jumpy lively plum and raspberry flavors are backed by leafy herbal notes and resiny oak. A spicy mint finish concludes this energetic yet oaky blend. Drink through 2021.,Chile,Red Blend
Early aromas of menthol and oak settle on floral red berry scents and woodspice. The flavor profile of black cherry and berry is initially narrow but with time rounds out to deliver a bright pleasant overall character. The blend consists of 75% Carmenère 25% Syrah and 5% Carignan.,Chile,Red Blend
Jammy blackberry rubber graphite and raw oak aromas set up a full weighty palate. Flavors of mint licorice creamy oak and chocolate accent brambly black-fruit flavors while a minty finish simmers with power and subtle warmth. Drink through 2016.,Chile,Carmenère
Herbal saucy aromas of tomato and spice accent dark-berry fruit while the palate carries a tight fresh crisp feel. This brings herbal spicy notes along with berry and cassis flavors while the finish rolls out in loamy yet short fashion.,Chile,Cabernet Sauvignon
From old dry-farmed vineyards in the southern Itata Valley this amphorae-fermented wine is one of Chile's most unusual reds. It's muscular and medicinal on the nose with earthy rubbery scents. Flavors of mushroom and dusty berry lack pointed freshness while the finish is lively and earthy with a plum character. This is unique but the final product has its faults. Tasted twice.,Chile,Cinsault
Dark spicy herbal aromas blend nicely with cola berry and black-currant scents. A huge fleshy palate expands as it delivers grapy blackberry flavors and herbal shadings. A jammy finish is dense and meaty but a bit light on acidity. Drink this big burly red blend through 2020.,Chile,Red Blend
A woody jammy nose is lush and borders on raisiny. Stout saturated and thick on the palate this Cabernet blend from Curicó deals a broad swipe of giant blackberry cassis and raisin flavors. A chunky finish with rubbery tannins is tasty and lush but a bit over the top.,Chile,Red Blend
Café mocha is the first aroma and that's backed by char pepper smoldering black fruit and earth the sum of which gears you up for the palate which is healthy but not too fierce or tannic. Flavors of berry and cassis are natural and juicy while the finish is long and brings in tobacco and leather notes. Drink now through 2010.,Chile,Cabernet Sauvignon
This Alcance Cab is arguably the best we've had from them to date. The color is deep the aromas of thyme sage and cassis are alluring and the flavors are packed in tight and revolve around exuberant boysenberry and cassis fruit. A real mouthful with toasty mocha and vanilla on the finish.,Chile,Cabernet Sauvignon
Spicy and earthy with truffle toast and strawberry aromas. The palate is bright and smooth with a well-matched mix of plush fruit and juicy acidity. This is the first Nimbus Estate wine we've reviewed and the early word is that this vineyard can produce Syrah with character as well as size. Imported by Carolina Wine Brands USA Inc.,Chile,Syrah
Moderately ripe white-fruit aromas of peach and melon come with a hint of buttery oak. This feels lean and citric with more acid than body. A shot of citric flavor gives way to yeasty dryness while the finish is juicy but bitter around the edges.,Chile,Chardonnay
Plum black cherry sandalwood and spice aromas work well together. This feels well balanced. Spicy minty plum and berry aromas are common for Carmenère while a chewy finish is smooth and not demanding.,Chile,Carmenère
This blend of Cabernet Sauvignon and Carmenère seems to do better in cooler vintages. In this hot year the wine is soupy and sticky in feel but herbal in aromas. Flavors of cherry and plum are oaky and medicinal while the finish is flabby and hollow. This is still good but it has its issues.,Chile,Cabernet Sauvignon-Carmenère
With a gold-meets-tan color this is showing cidery aromas as well as toasty oak. The palate is good but chunky while flavors of green fruits and light vegetal notes finish briny with a pinch of sea salt.,Chile,Chardonnay
This new sparkler from Apaltagua is yeasty on the nose with ham salami and wheat notes. The palate isn't shy as full-force malic acid brings more kick than grace. Flavors of cider and butterscotch finish short but clean.,Chile,Sparkling Blend
Clos Apalta continues to push the envelope for Chilean icon wines. It's always been a blend of four or five Bordeaux grapes and the 2005 is every bit as structured tight and ripe as any predecessor. There is an intense blanket of new oak that tastes of mint cinnamon sawdust and black licorice. When that subsides (maybe in another 12 months) expect racy and complex berry flavors pinpoint tannins and preserving acidity. Hold for another two years; then drink through 2014.,Chile,Red Blend
What a lush and spectacular New World Malbec. Buttery aromas of coconut and black fruits mix with herbs mineral and char to create a near-perfect bouquet. The palate is saturated and balanced by great natural acidity which frames the blackberry and herb flavors in excellent light. Meaty textured fruity and balanced: What more could you want? Drink now–2010. Imported by Baystate Wine Co.,Chile,Malbec
Blueberry citrus peel and licorice work the nose on this interesting but limited Malbec. The palate seems racier and more acidic than one might expect with snappy black cherry and berry flavors. Oak rises up on the finish leaving chocolate in spades. Has critical mass but only medium depth and complexity.,Chile,Malbec
Warm rubbery berry aromas mixed with smoked meat and herbal accents make for a solid nose and while the palate has clampy acidity and herbal notes there's ample body roundness and berry fruit to bring it home. Both leafy and candied on the finish.,Chile,Merlot
Clean and ripe with apple pear and zesty citrus aromas. The palate runs more round and candied than linear and sharp with sweet welcoming flavors of white peach and dried citrus fruits. Fuller-bodied and inviting but still fresh. Drink immediately.,Chile,Sauvignon Blanc
Heady tight piercing aromas are a good indication of the wine's style and sense of attack. The palate is firm acidic and driving but ultimately more basic and generic than individual or exciting. It's tangy and focuses on raspberry and peppery qualities. Good and structured but also tight.,Chile,Red Blend
Starts out varietally correct with zest in the mouth and citrusy green aromas. Time doesn't really help it along; the lime and grapefruity crispness is surface-level. Turns more pithy and less focused as it airs out. Drink immediately before it fades.,Chile,Sauvignon Blanc
Green bean and lettuce aromas run the tight green nose straight into a lip-smacking acidic palate with tart apple and green citrus flavors i.e. lime. Crisp and acidic on the finish with a minerally feel.,Chile,Sauvignon Blanc
Briary and prickly smelling with juicy acidity a lean structure and tart pie cherry and red plum flavors. Expect a light translucent Pinot that emphasizes freshness and crisp acidity.,Chile,Pinot Noir
A little forced and pickled on the nose but overall this is pretty much your standard value-priced Chilean Cab meaning it offers herbal notes and olive along with medium-level currant and plum flavors. Very basic and by no means a bad wine.,Chile,Cabernet Sauvignon
This is an interesting six-grape blend that's not like most other Chilean specimens. It starts with a leathery note as well as eucalyptus licorice and lightly minty fruit aromas. It feels cheeky and tannic but mature with baked berry raisin and chocolate flavors. Dark spicy and chocolaty until the last remnants of the finish conclude; this needs lots of air to show its best.,Chile,Bordeaux-style Red Blend
This Cabernet Sauvignon-Carmenère blend is a green machine with a pyrazine-led explosion of green bean and bell pepper aromas. Robust and grabby on the palate this tastes heavily of herbal plum and canned green bean while a minty finish includes flavors of olive and bitterness. This feels right but smells and tastes extremely green.,Chile,Red Blend
Scattered aromas of black olive and stewed berry fruits lead to a heavy awkward palate. This tastes strained with burnt leafy black-fruit flavors and a soft low-acid finish.,Chile,Cabernet Sauvignon
This is an overtly oaky Cabernet with resiny balsamic aromas that share space with baked black-fruit scents. The palate feels flabby and fat with modest tannic grip. Jammy blueberry and cassis flavors end oaky resiny and jammy.,Chile,Cabernet Sauvignon
Murky mulchy aromas of baked black fruits and coffee grinds set up a gritty hard palate of barrel char and roasted berry fruits. The finish is more of the same—lots of oak burnt coffee and baked black-fruit flavors.,Chile,Carmenère
Lightly herbal and scratchy on the nose this somewhat sharp Merlot is linear and piercing with bright semitart flavors of raspberry cherry pie and herbs.,Chile,Merlot
Loamy blackberry aromas shows a touch of spice and leather. Raw and scratchy on the palate this tastes of baked plum with herbal accents. A short resiny finish feels a bit rubbery.,Chile,Carmenère
